Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.427480916,0.489954237,0.680483057,0.759875813,0.745514062,0.984647054,0.966282895,1.14544213,1.223288417,1.282289537,1.332020231,1.368822548,1.334943534,1.356302629,1.567542646,1.686430793,1.897181759,2.175493162,2.406836224,3.265886869,3.201440569,3.432681802,3.631620897,3.411820588,3.680649526,3.937096673,2.488526999,3.970985272,3.967168263,3.965023032,2.965072637,2.969192576,3.22132198,3.671291126,3.667304337,3.941209607,4.262361048,4.568147778,4.498746495,4.849218535,4.734971229,2.828708171,3.600998943,3.901585048,4.126134055,4.281504272,4.459793795,4.291166598,4.27792265,5.108834006,4.168086419,4.648096565,4.684558755,4.936707682,
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,1.355302964,1.308636704,1.321971856,1.401467928,1.397943475,1.421605018,1.443173843,1.421212299,1.283740913,1.272958355,1.308881247,1.319024419,1.292978982,1.265229002,1.298204387,1.289079863,1.2537471,1.290587728,1.273488144,1.227436014,1.232868988,1.174578007,1.123987955,1.093278599,1.088835819,1.11724841,1.128709727,1.145021672,1.136120713,1.073663127,1.062240409,1.064005253,1.069149856,1.096139047,1.150298733,1.15243439,1.142417212,1.16052182,1.192123437,1.108091443,1.107587414,1.067058723,1.073628687,1.086449162,1.096416272,1.043372669,1.026116204,1.012872687,0.997156909,0.983491717,0.845417186,0.863532874,0.816361437,0.784640732,
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.153576647,0.149874646,0.142875269,0.142613928,0.175657847,0.158838837,0.144917427,0.171099749,0.142093699,0.150802966,0.152354212,0.18930971,0.210128339,0.274931759,0.288171252,0.36085179,0.345146625,0.287394828,0.267970159,0.243892415,0.242593598,0.232619344,0.137051251,0.119439166,0.103699548,0.085726829,0.079782626,0.075037566,0.074133627,0.069163057,0.05047608,0.046572949,0.044077783,0.044340731,0.037897929,0.051887829,0.055392338,0.07756123,0.144751528,0.221465726,0.275380975,0.388742453,0.319626608,0.262469648,0.238642815,0.246706025,0.216929892,0.226011227,0.215877625,0.191490829,0.180555013,0.198267958,0.20355189,0.210043425,
Africa Western and Central,AFW,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.347426517,0.457250756,0.550164838,0.697791103,0.843932738,0.658420683,0.726803307,0.618096405,0.625056947,0.802119491,0.719124232,0.603436173,0.562498642,0.557790034,0.550276532,0.55786347,0.528906564,0.497012633,0.521120417,0.53216549,0.490402474,0.501841936,0.528290038,0.506310369,0.477636486,0.507183274,0.571195525,0.553488161,0.518728097,0.511601787,0.533661233,0.551083899,0.502950754,0.528566211,0.510387031,0.500513165,0.464381052,0.437051092,0.451267465,0.417316125,0.456851165,0.473954567,0.470348079,0.504400161,0.513469247,0.499586915,0.506323433,0.495060473,0.509712919,0.518890459,0.49715916,0.512748783,0.505462163,0.482217276,
Angola,AGO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,1.526434923,1.422025531,1.678921303,1.776152503,1.785263089,1.593567801,1.030720328,1.644408471,1.876309766,1.806935895,1.760059662,1.568624522,1.459325147,1.455612105,1.417008022,1.442225885,1.4050269,1.381386565,1.375600746,1.343899691,0.965968712,0.979787216,0.975473353,0.946555875,0.867215446,0.945511672,1.106402503,1.118802042,1.123819789,1.150898675,1.019576015,0.966865641,0.918494718,0.965775643,0.951069769,0.810676973,0.815387085,0.820836438,0.88603298,0.940848252,0.976178185,0.976532177,0.981682219,1.090522602,1.137202706,1.175429272,1.072053077,0.924168969,0.839018754,0.851665228,0.619138988,0.73156742,0.767587421,0.768162509,
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,2.268811822,2.211346009,2.460093637,2.15604471,2.267795231,2.25550153,2.357754199,2.466992846,2.657947383,3.031783552,3.021522854,2.594444135,2.612167319,2.739911954,2.902876951,2.723287738,2.696786082,2.689287376,2.609396322,2.449206817,2.021881966,1.34061265,0.72773995,0.688720898,0.730810192,0.649353909,0.64863592,0.502019991,0.61201267,0.992866007,1.046446017,1.123890708,1.313138928,1.385438161,1.458238835,1.377558661,1.381665852,1.429082729,1.423194135,1.460144238,1.564321026,1.716993179,1.562852861,1.647374246,1.763799434,1.688303168,1.575153307,1.858910713,1.850978378,1.73551805,1.607132726,1.792282583,1.659293031,1.672194764,
Andorra,AND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,2.24711095,2.332056563,2.532970412,2.846150086,2.704651552,2.633609776,3.013188254,3.01418507,3.123255687,3.241377252,3.299281178,3.006022657,3.028244409,3.044676406,2.926810468,2.951719607,2.989598431,3.035860308,3.108301445,3.164338793,3.054163809,3.072479722,3.192236679,3.321922722,3.433509575,3.448098606,3.453320596,3.531726351,3.491071953,3.464533454,3.506669346,3.628226463,3.662570903,3.683577756,3.799737436,3.97372625,4.074203344,4.133140011,4.327413953,4.371369733,4.542205018,4.5598675,4.770973998,4.749155878,4.800313015,4.796052633,4.743015013,4.71887557,4.600947837,4.572471903,4.27290949,4.400698103,4.403588402,4.380929489,
United Arab Emirates,ARE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,67.93142921,75.90373313,72.06854816,82.13492698,73.62841376,67.56745804,74.01122972,64.59563312,65.01061445,41.53408406,40.50260904,34.60047006,32.63544158,29.78438523,38.27056132,37.60148515,34.23380263,33.07606699,30.3184468,31.81046914,29.96891825,32.2542417,29.56519272,29.66306991,31.16951896,31.79188733,31.1410229,29.92166564,28.44280447,27.29704664,25.31988007,27.19399827,26.16197932,25.95604439,25.96987063,26.25239293,25.39330419,24.3827555,26.0607102,24.65118089,25.03024089,24.95088351,25.03175291,25.3376205,24.55546539,24.293209,23.75125278,22.14604978,20.0129971,20.92386181,20.794608,21.02578633,20.5359774,19.64862576,
Argentina,ARG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,3.667304665,3.623285912,3.640407643,3.705197695,3.663599783,3.513810158,3.636970959,3.727070136,3.633312175,3.782099355,3.635144531,3.470943729,3.388397602,3.451337285,3.376595988,3.1055192,3.298658509,3.427400477,3.49377726,3.339731451,3.058612248,3.177606554,3.190850278,3.258139023,3.313254361,3.315321748,3.563984281,3.642126438,3.794254837,3.803231674,3.675005611,3.490969061,3.262085817,3.51976128,3.857510409,3.918724707,4.104215537,4.327089125,4.435786748,4.036599735,4.296677439,4.430183946,4.479556231,4.538012193,4.418040775,4.513930258,4.422979854,4.321155547,4.251246258,4.075445377,3.76439263,4.20773344,4.26096743,4.035679689,
Armenia,ARM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,4.079562682,4.005591315,4.202005449,4.473252092,4.720811332,5.045158657,5.050165622,5.069920047,5.104409277,5.184016507,5.478444302,5.561135299,5.682890188,5.649218136,5.634000683,5.597939169,5.597316051,5.600116568,5.527484073,5.264587145,5.850042566,5.976269356,3.073075912,1.481265051,0.8346584,1.070631377,0.791189285,1.028374245,1.082346004,0.980082001,1.108192853,1.131234822,0.969216826,1.090557738,1.187715252,1.418287567,1.421604682,1.658621355,1.829613553,1.468297456,1.411849711,1.619505268,1.874673457,1.817471873,1.911307983,1.869333688,1.796043177,1.909310599,2.004344897,2.168472574,2.334560189,2.534922189,2.454971036,2.606045272,
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.003700141,0.003632005,0.003572066,0.003516669,0.003463203,0.003402518,0.003337895,0.003276433,0.003217917,0.003163456,0.003086134,0.002977608,0.002864591,0.002757024,0.002654844,0.002557349,0.002464815,0.002376878,0.002292789,0.00221283,0.002144082,0.002088467,0.002039235,0.00199366,0.001951181,0.001911461,0.001874309,0.00183952,0.001807207,0.001777841,0.00175886,0.001752756,0.00175248,0.001755279,0.001760006,0.001766254,0.001773867,0.001782118,0.001791216,0.001800893,0.001810676,0.00182166,0.001835233,0.001851646,0.001870348,0.001891146,0.001914059,0.00193851,0.001964328,0.001991675,0.002009606,0.002031488,0.002068595,0.002104333,
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,1.586908009,1.580435354,1.928344812,1.953622828,1.746854413,2.122526982,1.927480317,2.124894303,2.119054312,2.087936024,2.056949762,1.798499961,2.278305163,1.313641544,1.607533677,1.620968866,1.722260253,2.286304069,2.481806894,2.555073036,2.595693401,2.593591746,2.569716167,2.45932883,2.628547492,2.696915925,2.62023789,2.716282212,2.728829476,2.717671653,1.807454079,1.739210454,1.943348219,2.096707925,2.107496284,2.160505458,2.429159843,2.622882601,2.782468159,3.162534304,3.264181903,2.457953019,2.591107036,2.944449491,3.148763589,3.252468991,3.497871489,3.061856126,3.243296747,3.724661792,3.00394138,3.304854411,3.301378716,3.462428737,
